,,open,open,high,high,low,low,close,close
,,min,max,min,max,min,max,min,max
Year,Month,,,,,,,,
2009,6,153.99,162.58,154.02,162.59,153.99,162.48,153.99,162.57
2009,7,146.82,159.96,146.93,159.97,146.74,159.87,146.82,159.95
2009,8,150.05,163.03,150.08,163.07,150.04,163.01,150.04,163.04
2009,9,140.06,153.2,140.09,153.24,139.73,153.19,140.06,153.2
2009,10,139.72,153.2,139.74,153.23,139.69,153.16,139.73,153.2
2009,11,139.43,151.6,139.53,151.61,139.27,151.57,139.45,151.6
2009,12,142.07,150.68,142.08,150.68,142.0,150.65,142.07,150.67
2010,1,143.43,150.7,143.46,150.7,143.43,150.64,143.46,150.69
2010,2,134.54,145.25,134.59,145.28,134.51,145.19,134.55,145.25
2010,3,132.01,142.35,132.42,142.36,132.0,142.31,132.01,142.35
2010,4,139.41,145.95,139.48,145.96,139.37,145.87,139.41,145.95
2010,5,126.88,144.88,127.03,144.9,126.74,144.86,126.89,144.89
2010,6,130.48,136.37,130.53,136.39,130.38,136.32,130.47,136.37
2010,7,130.83,137.47,130.87,137.51,130.81,137.45,130.82,137.46
2010,8,128.65,137.71,128.67,137.75,128.62,137.69,128.64,137.72
2010,9,127.71,135.0,127.75,135.02,127.61,134.96,127.7,134.99
2010,10,126.46,132.97,126.5,133.0,126.43,132.92,126.45,132.96
2010,11,128.86,134.19,128.89,134.19,128.86,134.16,128.87,134.18
2010,12,125.49,133.0,125.52,133.03,125.48,132.97,125.48,133.01
2011,1,125.79,132.63,125.82,132.65,125.75,132.61,125.8,132.63
2011,2,130.91,135.43,130.97,135.49,130.89,135.38,130.92,135.42
2011,3,123.17,134.82,123.32,135.2,122.96,134.79,122.99,134.8
2011,4,133.0,139.98,133.1,139.99,132.97,139.92,132.99,139.97
2011,5,130.28,136.09,130.31,136.09,130.25,136.06,130.29,136.08
2011,6,128.2,134.31,128.22,134.33,128.2,134.29,128.22,134.31
2011,7,125.04,130.81,125.19,130.82,124.87,130.79,125.03,130.82
2011,8,123.28,130.81,123.32,130.81,123.28,130.78,123.29,130.8
2011,9,116.84,125.16,116.87,125.18,116.81,125.11,116.83,125.15
2011,10,116.96,127.23,117.05,127.3,116.95,127.06,116.97,127.24
2011,11,119.36,125.62,119.37,125.64,119.35,125.61,119.36,125.63
2011,12,119.298,122.744,119.334,122.75,119.247,122.714,119.297,122.734
2012,1,117.284,122.025,117.345,122.031,117.277,122.007,117.291,122.026
2012,2,119.583,129.666,119.59,129.767,119.572,129.65200000000002,119.582,129.67600000000002
2012,3,126.529,133.435,126.569,133.47,126.526,133.401,126.53,133.434
2012,4,127.189,133.19899999999998,127.226,133.234,127.094,133.187,127.186,133.2
2012,5,120.178,130.70600000000002,120.322,130.753,120.133,130.704,120.172,130.707
2012,6,118.805,125.799,118.873,125.809,118.778,125.784,118.795,125.8
2012,7,120.815,125.453,120.833,125.464,120.809,125.444,120.824,125.456
2012,8,121.081,125.484,121.095,125.497,121.069,125.478,121.083,125.48
2012,9,123.955,128.8,123.966,128.813,123.939,128.784,123.957,128.80100000000002
2012,10,124.74,129.589,124.743,129.626,124.723,129.585,124.737,129.591
2012,11,125.67,132.767,125.688,132.781,125.654,132.759,125.672,132.769
2012,12,131.555,140.991,131.57,141.005,131.53799999999998,140.968,131.55700000000002,140.995
2013,1,139.247,146.368,139.278,146.431,139.244,146.341,139.246,146.37
2013,2,138.016,147.85399999999996,138.045,147.96,137.812,147.835,138.02100000000002,147.845
2013,3,139.139,145.827,139.175,145.86,139.093,145.811,139.138,145.828
2013,4,140.406,153.814,140.414,153.844,140.368,153.796,140.406,153.812
2013,5,150.938,156.732,150.966,156.745,150.93,156.683,150.936,156.726
2013,6,147.18,154.191,147.208,154.218,147.085,154.14,147.178,154.184
2013,7,148.254,154.02200000000005,148.278,154.028,148.235,154.01,148.251,154.023
2013,8,147.64,154.60399999999996,147.799,154.656,147.588,154.56,147.64700000000005,154.602
2013,9,152.4,159.923,152.411,159.97,152.381,159.905,152.40200000000004,159.92
2013,10,154.72799999999995,159.835,154.761,159.935,154.703,159.749,154.72899999999996,159.841
2013,11,156.66299999999995,167.854,156.674,167.875,156.613,167.832,156.662,167.852
2013,12,165.88099999999997,174.497,165.923,174.50799999999995,165.855,174.487,165.882,174.498
2014,1,167.61,174.81900000000005,167.685,174.826,167.55599999999995,174.793,167.605,174.82299999999995
2014,2,163.926,171.84900000000005,164.003,171.866,163.864,171.83,163.924,171.852
2014,3,167.759,173.553,167.78799999999995,173.555,167.752,173.472,167.75799999999995,173.523
2014,4,169.5,173.106,169.542,173.12099999999995,169.479,173.095,169.502,173.107
2014,5,169.53099999999995,173.391,169.56799999999996,173.44400000000005,169.52200000000005,173.37400000000005,169.52900000000002,173.388
2014,6,170.988,174.063,171.01,174.07299999999995,170.945,174.045,170.98,174.06400000000005
2014,7,172.59,175.324,172.601,175.347,172.584,175.324,172.58900000000003,175.327
2014,8,170.446,173.815,170.476,173.826,170.41,173.796,170.453,173.81599999999997
2014,9,169.34,180.665,169.352,180.69,169.324,180.596,169.33599999999996,180.663
2014,10,168.02200000000005,179.80200000000005,168.083,179.81400000000005,168.0,179.77,168.018,179.81
2014,11,179.68200000000004,186.102,179.688,186.127,179.657,186.091,179.68,186.103
2014,12,181.668,189.687,181.841,189.71400000000003,181.606,189.602,181.83900000000003,189.696
2015,1,175.815,187.31,175.85299999999995,187.317,175.75599999999997,187.289,175.815,187.313
2015,2,175.524,185.025,175.55900000000003,185.029,175.50099999999995,185.011,175.53,185.022
2015,3,176.5,184.916,176.535,184.924,176.482,184.892,176.5,184.914
2015,4,174.90900000000005,184.15,174.916,184.153,174.87900000000005,184.088,174.905,184.148
2015,5,180.955,190.647,180.995,190.712,180.952,190.622,180.952,190.642
2015,6,188.546,195.837,188.561,195.881,188.542,195.815,188.544,195.835
2015,7,185.034,194.555,185.077,194.588,184.993,194.521,185.03,194.55900000000003
2015,8,183.24400000000003,195.26,184.296,195.273,183.237,195.255,183.25,195.26
2015,9,180.414,188.228,180.428,188.291,180.402,187.926,180.411,188.22
2015,10,180.696,186.707,180.758,186.724,180.657,186.698,180.696,186.709
2015,11,184.258,188.784,184.283,188.804,184.248,188.748,184.258,188.784
2015,12,176.976,186.336,176.989,186.345,176.96200000000005,186.328,176.97299999999996,186.335
2016,1,164.019,177.34599999999998,164.05599999999995,177.36700000000005,163.977,177.332,164.016,177.34900000000005
2016,2,154.736,174.951,154.856,175.00599999999997,154.717,174.88299999999995,154.72799999999995,174.951
2016,3,156.816,164.09400000000005,156.84,164.095,156.80200000000005,164.02700000000004,156.819,164.09400000000005
2016,4,151.719,162.805,151.78799999999995,162.809,151.65,162.769,151.716,162.805
2016,5,153.673,163.875,153.738,163.893,153.63299999999995,163.835,153.673,163.872
2016,6,133.476,160.39700000000005,133.535,160.44799999999995,133.24200000000002,160.36700000000005,133.433,160.4
2016,7,128.977,143.225,129.164,143.226,128.778,143.187,128.987,143.225
2016,8,129.245,135.92700000000002,129.305,135.945,129.222,135.912,129.25,135.93
2016,9,129.645,138.808,129.734,138.827,129.634,138.754,129.644,138.81799999999998
2016,10,124.873,132.224,124.947,132.227,124.819,132.216,124.873,132.221
2016,11,126.51,143.694,126.533,143.701,126.485,143.631,126.512,143.69899999999996
2016,12,142.18,148.447,142.216,148.455,142.16299999999995,148.42700000000005,142.184,148.44899999999996
2017,1,136.501,145.382,136.561,145.394,136.45,145.35,136.498,145.382
2017,2,138.567,144.083,138.572,144.128,138.53799999999998,144.017,138.56799999999998,144.08700000000005
2017,3,137.545,140.71200000000002,137.564,140.743,137.518,140.654,137.542,140.719
2017,4,135.606,144.47899999999996,135.632,144.493,135.597,144.471,135.609,144.481
2017,5,141.496,148.097,141.56,148.109,141.486,148.076,141.50799999999995,148.099
2017,6,138.686,146.529,138.689,146.547,138.668,146.518,138.681,146.532
2017,7,144.04,147.717,144.06799999999996,147.77,144.026,147.694,144.046,147.716
2017,8,139.314,146.768,139.322,146.793,139.314,146.726,139.315,146.768
2017,9,141.209,152.857,141.22,152.86,141.184,152.85,141.209,152.858
2017,10,146.945,151.379,146.951,151.39,146.938,151.355,146.944,151.378
2017,11,146.994,152.403,147.02,152.412,146.971,152.398,146.991,152.406
2017,12,149.504,153.39700000000005,149.54,153.407,149.411,153.368,149.504,153.39700000000005
2018,1,150.205,156.064,150.215,156.085,150.19299999999996,156.02700000000004,150.20600000000005,156.066
2018,2,146.469,156.58100000000005,146.511,156.605,146.46200000000005,156.571,146.47,156.579
2018,3,145.003,150.564,145.079,150.584,144.985,150.559,145.0,150.565
2018,4,148.405,153.832,148.411,153.84799999999996,148.379,153.819,148.403,153.834
2018,5,143.22799999999995,150.618,143.255,150.624,143.191,150.606,143.231,150.615
2018,6,143.793,148.107,143.816,148.112,143.773,148.083,143.795,148.106
2018,7,145.211,149.30200000000005,145.22799999999995,149.30700000000004,145.181,149.275,145.21,149.304
2018,8,139.901,147.135,139.935,147.144,139.892,147.12,139.904,147.13299999999995
2018,9,142.61700000000005,149.705,142.664,149.71,142.588,149.686,142.618,149.703
2018,10,142.787,149.505,142.83700000000005,149.50799999999995,142.77,149.484,142.787,149.505
2018,11,144.029,149.464,144.05100000000004,149.481,144.009,149.46,144.032,149.467
2018,12,139.391,145.498,139.425,145.509,139.374,145.484,139.401,145.503
2019,1,132.425,144.829,132.425,144.83700000000005,132.425,144.814,132.425,144.827
2019,2,141.041,148.24200000000005,141.059,148.265,141.006,148.204,141.041,148.243
2019,3,143.739,148.862,143.745,148.873,143.721,148.82399999999996,143.74200000000005,148.859
2019,4,143.773,147.167,143.796,147.189,143.767,147.137,143.773,147.16899999999995
2019,5,136.642,146.499,136.654,146.504,136.628,146.445,136.639,146.499
2019,6,135.403,138.31799999999998,135.409,138.321,135.373,138.286,135.403,138.319
2019,7,131.64,137.536,131.67,137.542,131.601,137.52700000000002,131.642,137.536
2019,8,126.561,132.465,126.615,132.476,126.537,132.457,126.556,132.463
