,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-07-15,14.2200,14.9500,13.9100,14.8800,14.8800,4564812,0.0000,1.0000
2019-07-12,15.1500,15.1600,14.1000,14.2400,14.2400,8861229,0.0000,1.0000
2019-07-11,15.4600,15.8500,15.0250,15.1500,15.1500,3925424,0.0000,1.0000
2019-07-10,15.5600,15.7400,15.2800,15.2900,15.2900,2005253,0.0000,1.0000
2019-07-09,14.9800,15.6700,14.8800,15.5300,15.5300,2886273,0.0000,1.0000
2019-07-08,15.1700,15.2000,14.9200,15.1000,15.1000,2566721,0.0000,1.0000
2019-07-05,15.1500,15.3500,14.9635,15.2900,15.2900,2010719,0.0000,1.0000
2019-07-03,15.4800,15.5400,14.8300,15.2400,15.2400,3951416,0.0000,1.0000
2019-07-02,16.0300,16.0300,15.4000,15.5100,15.5100,3419685,0.0000,1.0000
2019-07-01,16.2500,16.3400,15.6000,16.0200,16.0200,3332788,0.0000,1.0000
2019-06-28,16.1000,16.3514,15.8200,15.9800,15.9800,3131240,0.0000,1.0000
2019-06-27,15.9000,16.4500,15.8300,15.9700,15.9700,4453524,0.0000,1.0000
2019-06-26,15.8200,16.0100,15.6450,15.8700,15.8700,2033977,0.0000,1.0000
2019-06-25,16.0600,16.1200,15.6100,15.7900,15.7900,3017876,0.0000,1.0000
2019-06-24,15.9300,16.1200,15.3700,16.0900,16.0900,3989708,0.0000,1.0000
2019-06-21,15.9100,16.0750,15.2500,15.9400,15.9400,6639255,0.0000,1.0000
2019-06-20,16.1700,16.9000,16.1000,16.4300,16.4300,7136110,0.0000,1.0000
2019-06-19,15.7100,16.1700,15.6200,15.8500,15.8500,3791691,0.0000,1.0000
2019-06-18,15.9800,16.1000,15.5300,15.7100,15.7100,3576926,0.0000,1.0000
2019-06-17,15.4400,15.9700,15.0200,15.8500,15.8500,4348719,0.0000,1.0000
2019-06-14,16.1600,16.2000,15.3600,15.4400,15.4400,5706018,0.0000,1.0000
2019-06-13,17.1800,17.4600,16.1700,16.3600,16.3600,5658373,0.0000,1.0000
2019-06-12,16.8400,17.3300,16.6900,17.1000,17.1000,3462231,0.0000,1.0000
2019-06-11,17.7300,17.8600,16.5800,16.9700,16.9700,5717279,0.0000,1.0000
2019-06-10,16.3100,17.5500,16.2500,17.3900,17.3900,9728882,0.0000,1.0000
2019-06-07,15.8200,16.2700,15.7500,15.9400,15.9400,4449693,0.0000,1.0000
2019-06-06,16.0000,16.2200,15.3100,15.7700,15.7700,5726306,0.0000,1.0000
2019-06-05,15.9700,16.7000,15.2300,15.9900,15.9900,17770190,0.0000,1.0000
2019-06-04,13.7400,14.4500,13.6492,14.4200,14.4200,4066310,0.0000,1.0000
2019-06-03,13.9400,14.3500,13.5100,13.5800,13.5800,4273861,0.0000,1.0000
2019-05-31,14.7100,14.8500,13.9000,14.0800,14.0800,5719338,0.0000,1.0000
2019-05-30,15.3000,15.6600,14.8200,14.9000,14.9000,3324634,0.0000,1.0000
2019-05-29,15.6000,15.7000,14.9000,15.2400,15.2400,3866682,0.0000,1.0000
2019-05-28,15.7700,16.1700,15.5065,15.6500,15.6500,4206091,0.0000,1.0000
2019-05-24,15.4900,16.0300,15.3300,15.3800,15.3800,3621656,0.0000,1.0000
2019-05-23,15.8800,16.1100,15.1700,15.3700,15.3700,4260822,0.0000,1.0000
2019-05-22,15.6600,16.5500,15.4000,16.1300,16.1300,5779030,0.0000,1.0000
2019-05-21,14.8500,15.6700,14.8500,15.6000,15.6000,4667136,0.0000,1.0000
2019-05-20,14.8800,14.9800,14.4493,14.7500,14.7500,1859244,0.0000,1.0000
2019-05-17,14.9900,15.3500,14.7937,14.9300,14.9300,3197089,0.0000,1.0000
2019-05-16,15.2500,15.4300,15.0700,15.1800,15.1800,3233719,0.0000,1.0000
